id,neighbourhood,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,price
10253,Retiro,Entire home/apt,4,11,3/22/20,0.98,1,261,5/5/19,t,1,1,1,Real Bed,1046,1,0,1125,t,f,flexible,f,f,2
10018,Recoleta,Entire home/apt,3,5,10/16/19,0.37,1,0,4/30/14,f,1,1,3,Real Bed,2092,2,349,89,t,f,strict_14_with_grace_period,f,f,3
11553,Recoleta,Entire home/apt,5,5,3/17/20,0.87,17,341,4/13/16,t,1,1,1,Real Bed,1402,1,0,200,t,f,moderate,f,f,4
4126,Palermo,Entire home/apt,2,62,3/17/20,1.68,2,89,8/18/13,t,1.5,1,1,Real Bed,1630,1,0,1125,f,f,moderate,f,f,2
12295,Núñez,Entire home/apt,2,1,11/19/19,0.14,1,0,1/11/18,f,2,4,8,Real Bed,5248,1,0,60,f,f,moderate,f,f,4
10884,San Telmo,Entire home/apt,5,1,8/1/19,0.09,2,359,5/8/19,f,1,2,2,Real Bed,3528,1,0,31,t,f,flexible,f,f,3
7879,Palermo,Entire home/apt,3,46,2/29/20,2.41,1,180,11/30/15,f,1,0,1,Real Bed,1186,1,0,30,t,f,strict_14_with_grace_period,f,f,3
8476,Caballito,Private room,1,7,2/12/20,0.41,1,111,4/4/15,f,1.5,1,1,Real Bed,0,1,560,60,f,f,flexible,f,f,1
2743,San Telmo,Entire home/apt,3,33,3/2/20,0.85,1,264,1/25/16,t,1.5,0,1,Real Bed,500,3,685,1125,f,f,strict_14_with_grace_period,f,f,2
12952,Recoleta,Entire home/apt,5,1,2/16/20,0.23,2,268,9/26/17,f,1,1,1,Real Bed,1744,1,488,1125,f,f,strict_14_with_grace_period,f,f,3
9203,Palermo,Entire home/apt,7,51,5/31/20,3.87,1,64,6/5/12,t,1,1,1,Real Bed,1397,2,698,1125,t,f,strict_14_with_grace_period,f,f,1
958,Belgrano,Entire home/apt,5,17,2/23/19,0.23,1,359,1/12/14,f,1.5,2,3,Real Bed,1536,1,0,30,f,f,strict_14_with_grace_period,f,f,4
1810,Palermo,Entire home/apt,3,94,3/21/20,1.54,2,0,4/29/15,t,1,0,1,Real Bed,771,1,0,30,f,f,moderate,f,f,1
9187,Palermo,Private room,1,11,8/2/19,0.69,3,359,5/16/14,t,1,1,1,Real Bed,0,1,599,1125,t,f,moderate,f,f,1
9154,Recoleta,Entire home/apt,2,1,7/25/19,0.09,32,89,12/6/17,f,1,1,3,Real Bed,1395,1,0,1125,t,f,flexible,f,f,2
2487,Palermo,Entire home/apt,2,83,3/29/20,1.56,1,365,8/18/14,f,1,0,1,Real Bed,1325,1,0,1125,t,f,strict_14_with_grace_period,f,f,3
1699,Palermo,Entire home/apt,2,18,1/4/19,0.29,5,180,4/18/14,f,1,0,2,Real Bed,1255,2,1046,1125,f,f,strict_14_with_grace_period,f,f,3
13032,Palermo,Entire home/apt,1,3,1/5/20,0.51,12,364,12/14/19,f,1,0,2,Real Bed,697,3,697,1125,f,f,moderate,f,f,2
7361,Palermo,Private room,1,7,8/13/19,0.34,2,359,8/27/16,f,1,1,1,Real Bed,698,1,0,1125,t,f,strict_14_with_grace_period,f,f,1
2076,Colegiales,Entire home/apt,8,96,12/29/19,1.67,1,264,8/21/15,t,1,0,1,Real Bed,0,1,0,60,f,f,strict_14_with_grace_period,f,f,2
9292,Palermo,Entire home/apt,7,5,10/10/19,0.34,1,155,8/24/15,t,1,1,1,Real Bed,2095,1,0,90,f,f,strict_14_with_grace_period,f,f,2
9591,Palermo,Entire home/apt,3,10,9/20/19,0.69,62,85,3/7/12,t,1,2,2,Real Bed,3149,1,0,1125,f,f,strict_14_with_grace_period,f,f,4
9821,Villa Devoto,Entire home/apt,1,30,3/8/20,3.25,1,360,2/11/17,t,1,1,1,Real Bed,350,1,0,1125,t,f,flexible,f,f,2
5534,Recoleta,Entire home/apt,2,7,12/8/19,0.47,32,365,12/6/17,f,2.5,2,6,Real Bed,1395,1,0,1125,t,f,strict_14_with_grace_period,f,f,4
13609,Recoleta,Entire home/apt,7,2,3/1/20,0.48,1,359,2/5/20,f,1,2,3,Real Bed,1397,1,0,360,t,f,flexible,f,f,4
12720,Recoleta,Private room,1,1,12/24/19,0.16,1,174,5/19/18,f,1,1,1,Real Bed,0,1,0,6,f,f,flexible,f,f,1
6824,Puerto Madero,Entire home/apt,5,35,2/23/20,2.31,1,2,1/18/18,t,2,2,2,Real Bed,1399,4,2099,30,t,f,moderate,f,f,4
12209,Recoleta,Entire home/apt,2,10,3/5/20,1.25,4,22,8/6/12,f,2,2,4,Real Bed,701,3,560,60,t,f,flexible,f,t,3
5558,Balvanera,Entire home/apt,3,3,2/29/20,0.11,2,84,12/9/12,f,1,1,2,Real Bed,1746,3,1048,1125,f,f,flexible,f,f,3
8707,Caballito,Entire home/apt,3,11,3/12/20,0.73,2,31,7/7/16,t,1.5,2,3,Real Bed,1469,2,700,30,f,f,moderate,f,f,3
9574,Palermo,Entire home/apt,2,29,3/17/20,2,17,174,2/5/19,t,1,0,2,Real Bed,2235,1,0,90,t,f,strict_14_with_grace_period,f,f,3
13186,Balvanera,Entire home/apt,3,1,3/19/20,0.31,1,174,12/27/19,f,1,1,2,Real Bed,1500,1,0,30,f,f,flexible,f,f,2
10133,Palermo,Entire home/apt,2,13,9/28/19,0.99,1,264,8/26/16,t,1,2,3,Real Bed,698,1,0,1125,f,f,moderate,f,f,4
4441,Monserrat,Entire home/apt,2,15,11/22/18,0.43,1,89,7/7/17,f,1,1,1,Real Bed,1395,1,488,1125,f,f,strict_14_with_grace_period,f,f,2
6838,San Telmo,Entire home/apt,3,38,3/16/20,1.83,1,174,1/7/16,t,1,1,1,Real Bed,1399,1,700,1125,f,f,flexible,f,f,2
12250,Palermo,Entire home/apt,1,4,1/9/20,0.5,3,141,11/15/18,t,1,1,1,Real Bed,3143,1,349,1125,t,f,strict_14_with_grace_period,f,f,1
4810,Núñez,Entire home/apt,7,16,3/23/20,0.51,4,175,8/13/12,t,2.5,2,4,Real Bed,5598,1,0,1125,f,f,moderate,f,f,4
4754,Palermo,Entire home/apt,3,1,12/1/17,0.03,1,89,9/19/17,f,1,2,2,Real Bed,1744,1,0,1125,f,f,flexible,f,f,4
12559,San Nicolás,Entire home/apt,1,1,1/13/20,0.18,18,206,3/11/13,t,3,3,3,Real Bed,5254,6,1051,1125,f,f,moderate,f,f,4
6988,Belgrano,Entire home/apt,4,24,3/14/20,1.1,1,174,5/23/18,f,1,1,1,Real Bed,1048,1,0,30,f,f,strict_14_with_grace_period,f,f,2
9950,Palermo,Entire home/apt,1,1,4/21/19,0.07,1,0,3/2/14,f,1,1,1,Real Bed,0,1,0,3,f,f,flexible,f,f,2
7625,Retiro,Entire home/apt,3,47,4/2/20,2.42,1,358,10/23/18,f,1,1,3,Real Bed,694,2,405,30,t,f,strict_14_with_grace_period,f,f,2
414,Palermo,Entire home/apt,2,62,2/26/20,0.68,1,365,11/11/12,f,1,1,0,Real Bed,2441,2,697,1125,t,f,moderate,f,f,4
13062,Recoleta,Entire home/apt,2,7,3/3/20,1.34,1,0,4/23/18,t,2.5,1,2,Real Bed,900,1,0,1125,t,f,flexible,f,f,2
8361,San Telmo,Entire home/apt,2,38,3/1/20,2.34,1,360,1/17/16,f,1,1,0,Real Bed,1500,1,0,1125,t,f,moderate,f,f,3
8584,Palermo,Entire home/apt,14,5,6/25/19,0.33,1,362,8/24/16,f,1,2,3,Real Bed,1753,4,0,1125,f,f,moderate,f,f,2
343,Monserrat,Private room,3,2,5/16/18,0.03,2,359,5/21/12,f,1,1,1,Real Bed,1397,1,1397,1124,f,f,strict_14_with_grace_period,f,t,2
12625,San Nicolás,Entire home/apt,1,7,3/15/20,0.98,2,179,9/13/19,f,1,1,2,Real Bed,2092,2,0,1125,t,f,flexible,f,f,2
6848,Belgrano,Entire home/apt,3,13,1/7/19,0.6,1,80,6/22/17,f,1,0,1,Real Bed,1048,1,0,20,t,f,moderate,f,f,3
13302,Palermo,Entire home/apt,7,4,3/2/20,0.82,3,84,6/26/18,f,1,1,2,Real Bed,1000,1,0,1125,t,f,strict_14_with_grace_period,f,f,2
1081,Almagro,Entire home/apt,14,1,7/31/19,0.09,6,185,8/15/11,f,1,0,1,Real Bed,2099,1,0,365,f,f,strict_14_with_grace_period,t,f,1
4636,Palermo,Entire home/apt,3,43,3/20/20,1.43,2,86,1/9/17,t,1.5,1,1,Real Bed,631,1,0,90,f,f,strict_14_with_grace_period,f,f,3
5110,Villa Santa Rita,Entire home/apt,7,5,8/10/18,0.17,1,0,11/30/17,f,1,1,1,Real Bed,0,1,0,31,f,f,moderate,f,f,2
224,Retiro,Entire home/apt,3,106,1/20/20,1.06,16,255,2/7/12,t,1.5,1,2,Real Bed,2095,2,698,1125,f,f,strict_14_with_grace_period,t,t,2
7252,Palermo,Entire home/apt,2,63,5/29/20,3.43,2,125,5/2/13,t,1,1,1,Real Bed,1395,1,349,90,f,f,flexible,f,f,4
11876,Villa Crespo,Entire home/apt,1,13,3/10/20,1.42,35,84,8/7/14,t,1.5,1,2,Real Bed,1955,1,698,1125,f,f,strict_14_with_grace_period,f,f,3
2024,Retiro,Entire home/apt,5,28,11/5/18,0.47,1,174,8/5/15,f,1,0,2,Real Bed,3492,1,0,1125,f,f,moderate,f,f,3
11409,Villa Urquiza,Entire home/apt,2,8,4/3/20,0.78,2,329,1/2/18,t,1,1,1,Real Bed,500,1,0,1125,t,f,moderate,f,f,1
4220,Palermo,Entire home/apt,5,115,3/6/20,3.05,1,86,5/11/17,t,1,1,3,Real Bed,1751,2,350,60,f,f,strict_14_with_grace_period,f,f,3
11554,San Nicolás,Entire home/apt,1,22,3/17/20,2.28,4,173,3/27/13,f,1,0,1,Real Bed,1395,1,0,1125,t,f,moderate,t,t,3
9734,Palermo,Private room,2,12,12/29/19,0.87,1,84,3/15/15,f,1,1,1,Real Bed,0,1,0,7,f,f,flexible,f,f,1
3963,Recoleta,Entire home/apt,3,2,4/16/17,0.05,2,0,3/7/16,f,1,1,1,Real Bed,450,1,0,30,f,f,moderate,f,f,1
6155,Recoleta,Entire home/apt,90,47,3/9/20,1.92,1,358,5/13/18,f,1,2,3,Real Bed,0,1,0,360,t,f,flexible,f,f,2
5843,Belgrano,Entire home/apt,3,4,12/21/19,0.22,2,153,6/26/14,t,1,0,1,Real Bed,1048,1,349,1125,f,f,moderate,f,f,2
6995,Palermo,Entire home/apt,4,13,12/27/19,0.64,2,361,11/21/13,f,1,1,1,Real Bed,2102,1,0,1125,t,f,flexible,f,f,4
6157,Villa Urquiza,Entire home/apt,3,4,11/17/18,0.17,1,360,10/21/16,f,1,2,2,Real Bed,1749,2,1050,30,f,f,flexible,f,f,3
5904,Palermo,Entire home/apt,7,7,8/24/18,0.27,2,90,4/4/18,f,1,0,1,Real Bed,0,1,0,60,f,f,strict_14_with_grace_period,f,f,1
5914,Balvanera,Entire home/apt,3,1,2/26/19,0.06,3,58,2/16/16,t,2.5,3,6,Real Bed,2441,1,0,20,t,f,strict_14_with_grace_period,f,f,4
3174,Palermo,Entire home/apt,15,73,1/11/20,1.54,23,349,5/5/11,f,1.5,2,1,Real Bed,2103,1,0,1125,t,f,flexible,f,f,2
6487,Palermo,Entire home/apt,3,39,3/15/20,1.65,1,174,4/24/12,t,1,1,1,Real Bed,0,1,0,70,t,f,flexible,f,f,2
4764,Palermo,Entire home/apt,3,20,3/31/19,0.65,7,359,3/2/11,t,1,1,1,Real Bed,2095,2,0,1125,f,f,strict_14_with_grace_period,t,t,4
10157,Palermo,Entire home/apt,1,39,3/18/20,2.93,13,0,8/8/18,t,1,1,1,Real Bed,1813,2,0,28,t,f,strict_14_with_grace_period,f,f,4
504,Palermo,Entire home/apt,6,39,6/10/20,0.61,1,173,12/21/10,f,1,1,1,Real Bed,5587,1,0,90,f,f,flexible,f,f,3
3401,Palermo,Entire home/apt,15,3,12/22/19,0.07,1,359,9/22/16,f,1,2,3,Real Bed,4888,1,0,1125,f,f,strict_14_with_grace_period,f,f,3
13641,Recoleta,Entire home/apt,1,3,4/30/20,0.72,1,294,9/11/19,f,1,1,1,Real Bed,4185,1,0,1125,t,f,strict_14_with_grace_period,f,f,1
8444,San Nicolás,Entire home/apt,3,20,2/25/20,1.35,1,365,6/2/18,f,1,1,3,Real Bed,0,2,697,1125,t,f,flexible,f,f,3
10401,Colegiales,Entire home/apt,4,1,5/25/19,0.08,1,0,12/9/15,f,1,1,1,Real Bed,1395,2,0,1125,f,f,moderate,f,f,2
7772,San Telmo,Entire home/apt,1,7,3/18/20,0.52,4,338,12/28/16,t,1,1,3,Real Bed,978,2,419,1125,t,f,flexible,f,f,3
8554,Belgrano,Entire home/apt,15,1,4/30/20,0.54,1,15,3/11/14,f,1,0,0,Real Bed,1050,1,1050,80,f,f,strict_14_with_grace_period,f,f,2
3898,Caballito,Entire home/apt,1,36,10/21/19,0.96,1,344,11/5/15,f,1,1,2,Real Bed,2029,1,0,1125,f,f,moderate,f,f,1
6415,Recoleta,Entire home/apt,2,3,3/29/19,0.13,1,187,1/5/16,f,1,1,3,Real Bed,1744,1,0,1125,t,f,flexible,f,f,4
11146,Palermo,Entire home/apt,2,44,3/10/20,3.99,1,90,7/17/19,t,1,0,1,Real Bed,488,1,0,365,t,f,moderate,f,f,2
10908,Retiro,Entire home/apt,1,11,1/2/20,0.95,1,360,6/26/19,t,2,3,6,Real Bed,5248,5,0,1125,t,f,flexible,f,f,4
4691,Recoleta,Entire home/apt,2,12,1/9/20,0.64,1,72,9/4/17,t,1.5,2,3,Real Bed,1395,1,0,30,t,f,strict_14_with_grace_period,f,f,4
3200,Almagro,Entire home/apt,3,17,4/23/19,0.37,1,174,11/9/15,f,1,1,2,Real Bed,2793,1,0,30,f,f,flexible,f,f,4
2054,San Telmo,Entire home/apt,1,13,3/1/20,1.3,4,358,12/19/11,f,2,2,3,Real Bed,2793,4,698,1125,t,f,strict_14_with_grace_period,f,f,4
763,Palermo,Entire home/apt,5,3,11/15/19,0.16,1,359,8/29/11,f,1.5,2,3,Real Bed,1746,3,0,180,t,f,strict_14_with_grace_period,f,f,4
9336,Almagro,Entire home/apt,2,4,12/19/19,0.27,1,0,2/5/19,f,1,2,2,Real Bed,1000,3,300,90,t,f,moderate,f,f,1
7433,San Telmo,Entire home/apt,2,31,2/26/20,1.53,1,174,10/7/18,t,1,0,0,Real Bed,350,1,0,1125,t,f,moderate,f,f,1
11331,Palermo,Entire home/apt,7,14,2/11/20,1.89,1,180,7/24/19,f,1,0,1,Real Bed,2339,1,0,60,f,f,moderate,f,f,3
10088,Monserrat,Entire home/apt,1,3,2/18/20,0.4,2,85,8/25/18,f,1,1,1,Real Bed,1500,1,0,1125,f,f,flexible,f,f,2
2769,Recoleta,Entire home/apt,3,27,1/11/20,0.53,3,89,3/20/16,t,1.5,1,0,Real Bed,301,1,0,1125,f,f,strict_14_with_grace_period,f,f,3
7426,Palermo,Entire home/apt,3,3,11/23/18,0.15,2,364,2/7/16,f,1,0,1,Real Bed,767,1,0,30,t,f,flexible,f,f,3
1061,Recoleta,Entire home/apt,3,4,1/8/17,0.07,1,356,3/13/14,f,1,1,1,Real Bed,1046,1,0,365,f,f,moderate,f,f,2
3884,Palermo,Entire home/apt,6,77,3/19/20,1.89,2,87,7/29/16,t,1,0,1,Real Bed,1744,1,0,1125,t,f,strict_14_with_grace_period,f,f,2
8678,Palermo,Entire home/apt,6,1,4/22/19,0.07,43,340,6/6/11,f,1,0,2,Real Bed,3138,3,0,1125,t,f,flexible,f,f,4
13425,Palermo,Entire home/apt,3,4,3/22/20,0.85,3,43,6/9/16,t,1,1,2,Real Bed,3487,1,0,1125,t,f,strict_14_with_grace_period,f,f,4
9040,Palermo,Entire home/apt,1,7,6/10/19,0.48,2,360,9/1/16,f,1,1,1,Real Bed,500,1,0,1,f,f,flexible,f,f,1
9237,Núñez,Entire home/apt,2,20,3/31/20,1.33,1,163,7/5/16,f,1,1,1,Real Bed,1749,1,0,180,t,f,flexible,f,f,2
3915,Palermo,Entire home/apt,2,31,12/2/19,0.79,1,83,2/13/17,f,2,1,1,Real Bed,1467,1,0,365,t,f,moderate,f,f,4
780,Palermo,Entire home/apt,1,186,3/25/20,2.3,3,361,5/30/13,f,1,1,1,Real Bed,1751,1,701,1125,f,f,strict_14_with_grace_period,f,f,2
6904,Almagro,Entire home/apt,4,35,3/27/20,1.59,1,174,8/9/18,f,1,0,2,Real Bed,1050,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
6299,Colegiales,Shared room,2,8,12/15/18,0.38,1,84,6/4/18,f,1,1,2,Real Bed,0,1,0,7,f,f,flexible,f,f,1
12424,San Nicolás,Entire home/apt,2,15,3/20/20,1.93,15,359,11/15/15,f,1,0,1,Real Bed,1257,2,1048,1125,f,f,flexible,f,f,2
9111,Retiro,Entire home/apt,3,2,1/30/20,0.38,1,66,6/6/16,f,2,3,5,Real Bed,0,1,0,39,t,f,moderate,f,f,3
1995,Balvanera,Entire home/apt,4,30,8/18/19,0.53,1,359,7/29/15,f,2,2,2,Real Bed,1048,1,1048,30,f,f,flexible,f,f,3
12813,Retiro,Entire home/apt,5,11,3/13/20,1.74,4,359,8/21/16,t,1,1,5,Real Bed,2724,1,0,180,t,f,flexible,f,f,4
9756,Parque Patricios,Entire home/apt,3,3,3/10/20,0.26,3,360,2/18/15,f,1.5,1,4,Real Bed,1749,2,700,1125,t,f,strict_14_with_grace_period,f,f,3
10751,Recoleta,Entire home/apt,3,17,2/26/20,1.41,1,365,4/22/13,t,1,1,3,Real Bed,1046,1,0,1125,t,f,moderate,f,f,3
198,San Nicolás,Entire home/apt,5,2,4/8/14,0.03,1,0,1/8/12,f,1,1,1,Real Bed,1046,1,349,30,t,f,moderate,f,f,2
6997,Palermo,Entire home/apt,3,37,3/14/20,1.73,2,174,8/2/13,t,1,0,1,Real Bed,1397,1,0,90,f,f,strict_14_with_grace_period,f,f,2
7171,San Telmo,Entire home/apt,2,63,3/11/20,3.01,3,186,10/29/17,f,1,1,3,Real Bed,500,1,0,1125,t,f,moderate,f,f,2
7624,Palermo,Entire home/apt,2,44,2/24/20,2.3,3,365,4/1/16,t,1,1,1,Real Bed,1395,2,1395,60,t,f,moderate,f,f,3
392,Recoleta,Entire home/apt,3,115,2/25/20,1.24,4,359,3/3/11,f,1,1,0,Real Bed,1746,2,1746,365,f,f,moderate,f,t,1
10199,Palermo,Entire home/apt,3,24,3/10/20,1.85,11,354,8/28/13,t,1,0,1,Real Bed,3492,1,0,240,t,f,moderate,f,f,3
2847,Caballito,Entire home/apt,3,4,2/19/20,0.68,1,144,4/13/16,f,1,1,1,Real Bed,700,1,0,14,t,f,flexible,f,f,2
1266,Recoleta,Entire home/apt,30,44,5/31/20,2.36,1,329,7/18/14,t,1,0,1,Real Bed,0,2,0,1125,t,f,strict_14_with_grace_period,f,f,2
8776,Coghlan,Entire home/apt,4,11,1/7/20,0.71,1,360,3/15/18,f,1,1,1,Real Bed,0,1,0,30,f,f,flexible,f,f,1
10407,Palermo,Entire home/apt,2,1,9/24/19,0.11,7,357,7/24/12,f,1,2,4,Real Bed,2790,3,349,1125,t,f,flexible,f,f,4
3473,Palermo,Entire home/apt,2,5,3/16/17,0.11,1,170,8/28/16,f,1,1,3,Real Bed,290,2,180,30,t,f,flexible,f,f,1
3561,Colegiales,Entire home/apt,3,4,1/31/18,0.13,1,0,5/26/15,f,1,1,2,Real Bed,400,2,300,1125,f,f,flexible,f,f,1
11631,Palermo,Entire home/apt,2,6,3/1/20,0.63,1,179,9/13/13,f,1,2,5,Real Bed,1000,1,0,1125,f,f,moderate,f,f,4
1820,San Telmo,Entire home/apt,1,139,3/10/20,2.26,5,206,4/15/15,f,1,0,2,Real Bed,0,1,0,1125,f,f,moderate,f,f,2
2397,Palermo,Entire home/apt,2,66,3/15/20,1.25,9,365,11/23/12,f,1,0,4,Real Bed,1255,2,418,1125,t,f,moderate,t,t,3
2449,Palermo,Entire home/apt,3,15,2/25/20,0.28,72,317,5/23/14,f,1,1,3,Real Bed,1744,2,349,1125,f,f,strict_14_with_grace_period,f,f,2
3084,Villa Crespo,Entire home/apt,3,29,2/15/20,0.6,4,188,2/12/16,f,1,0,1,Real Bed,349,1,0,1125,t,f,strict_14_with_grace_period,f,f,1
2388,Palermo,Entire home/apt,30,68,3/16/20,1.24,6,365,4/11/15,f,1,1,1,Real Bed,2441,1,0,1125,t,f,moderate,f,f,1
4808,Palermo,Entire home/apt,6,15,4/30/20,0.46,1,360,12/27/15,f,1,1,1,Real Bed,400,1,0,1125,f,f,flexible,f,f,1
12555,Palermo,Entire home/apt,2,4,2/25/20,0.56,2,176,3/23/16,f,2.5,2,2,Real Bed,1051,1,0,15,f,f,strict_14_with_grace_period,f,f,4
1030,Palermo,Entire home/apt,14,95,4/6/20,1.25,16,308,2/7/12,t,1.5,0,2,Real Bed,1397,1,0,700,f,f,strict_14_with_grace_period,t,t,1
11585,Palermo,Entire home/apt,3,9,6/2/20,1.13,1,173,6/14/14,t,1,1,1,Real Bed,0,2,0,180,f,f,flexible,f,f,2
7056,Palermo,Entire home/apt,3,29,6/6/20,1.4,3,83,9/4/18,f,1,1,2,Real Bed,1046,1,0,1125,f,f,flexible,f,f,2
12839,Balvanera,Entire home/apt,5,4,2/15/20,0.62,1,176,11/22/12,f,1,2,3,Real Bed,1402,3,0,27,t,f,strict_14_with_grace_period,f,f,3
6900,Retiro,Entire home/apt,14,1,10/15/18,0.05,2,356,12/21/16,f,1,1,3,Real Bed,1395,1,0,100,f,f,flexible,f,f,3
1792,Villa Crespo,Entire home/apt,1,224,6/13/20,3.68,7,356,1/2/14,f,1,1,2,Real Bed,1397,2,0,1125,f,f,strict_14_with_grace_period,f,f,3
4653,San Telmo,Entire home/apt,2,30,2/27/20,0.89,1,0,12/18/15,f,1,1,1,Real Bed,1744,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
2393,Almagro,Private room,2,2,1/1/19,0.06,19,349,3/5/12,t,1,1,2,Real Bed,0,1,420,1125,f,f,strict_14_with_grace_period,f,f,1
8249,Núñez,Entire home/apt,3,1,12/15/18,0.05,27,31,9/14/15,f,1,1,1,Real Bed,500,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
1282,Palermo,Entire home/apt,5,89,5/4/20,1.43,3,137,8/3/14,t,2,2,3,Real Bed,2092,5,349,200,t,f,moderate,f,f,4
8144,San Nicolás,Entire home/apt,2,3,3/31/19,0.17,1,179,1/30/16,t,1,1,3,Real Bed,1395,3,349,20,f,f,moderate,f,f,3
13263,Belgrano,Entire home/apt,2,1,1/15/20,0.19,1,175,10/4/16,f,1,2,3,Real Bed,1399,1,0,14,f,f,moderate,f,f,3
5398,Palermo,Entire home/apt,2,2,1/15/19,0.07,1,365,1/20/18,f,1,0,1,Real Bed,1744,1,0,365,t,f,flexible,f,f,4
3037,Flores,Entire home/apt,7,1,8/6/18,0.04,2,83,6/7/16,f,2,1,2,Real Bed,1399,1,0,1125,f,f,strict_14_with_grace_period,f,f,3
792,Barracas,Private room,3,39,3/31/20,0.48,1,81,10/1/13,f,1,2,2,Real Bed,1050,2,1399,1125,f,f,moderate,f,f,4
3158,Palermo,Entire home/apt,7,34,3/5/20,1.04,1,139,10/18/14,t,1,1,1,Real Bed,1255,1,349,45,f,f,moderate,f,f,2
11428,Palermo,Entire home/apt,3,2,9/8/19,0.21,1,359,1/19/16,f,1,1,2,Real Bed,698,1,0,1125,t,f,flexible,f,f,4
11388,Palermo,Entire home/apt,3,3,11/1/19,0.31,91,362,9/4/12,f,1,0,0,Real Bed,0,1,0,1125,f,f,moderate,f,f,4
2039,Villa Crespo,Entire home/apt,7,16,12/10/18,0.43,1,0,8/7/15,f,1,0,1,Real Bed,400,1,0,1124,f,f,strict_14_with_grace_period,f,f,1
13567,Belgrano,Entire home/apt,1,2,2/23/20,0.47,1,84,5/17/18,f,1,1,1,Real Bed,1329,1,910,1125,t,f,flexible,f,f,3
6560,Recoleta,Entire home/apt,7,11,12/29/19,0.69,1,287,4/27/16,f,1,2,2,Real Bed,3503,1,0,1125,f,f,flexible,f,f,4
3539,San Nicolás,Private room,1,7,6/10/19,0.16,1,176,2/4/16,f,1,1,1,Real Bed,1122,1,701,1125,f,f,strict_14_with_grace_period,f,f,2
9011,Retiro,Entire home/apt,1,2,4/11/19,0.12,1,365,12/22/18,f,1,0,1,Real Bed,300,1,400,1125,f,f,flexible,f,f,1
4043,Agronomía,Private room,1,51,2/29/20,1.3,4,327,4/6/16,t,2,1,1,Real Bed,790,1,1186,35,t,f,moderate,f,f,2
11762,Colegiales,Entire home/apt,2,16,3/15/20,1.69,1,360,9/7/19,f,1,0,0,Real Bed,300,1,0,3,t,f,flexible,f,f,1
4776,Almagro,Private room,1,5,6/2/19,0.3,1,0,10/13/14,f,1,1,1,Real Bed,837,1,0,7,t,f,flexible,f,f,1
7894,Balvanera,Private room,2,27,3/17/20,1.44,3,190,11/13/18,f,1.5,1,1,Real Bed,0,1,0,1125,t,f,moderate,f,f,1
8197,Balvanera,Entire home/apt,1,7,4/22/19,0.38,1,90,11/27/17,f,1,1,3,Real Bed,1046,2,697,125,t,f,moderate,f,f,3
12257,Chacarita,Entire home/apt,40,3,4/4/20,0.4,7,186,6/30/16,f,1.5,1,2,Real Bed,1397,1,0,1125,t,f,flexible,f,f,4
